a
```markdown
| Super-cycles | Thickness (nm) |
|---|---|
| 0 | 0 |
| 1 | 0.5 |
| 2 | 1 |
| 3 | 1.5 |
| 4 | 2 |
| 5 | 2.5 |
| 6 | 3 |
| 7 | 3.5 |
| 8 | 4 |
| 9 | 4.5 |
| 10 | 5 |
| 11 | 5.5 |
| 12 | 6 |
| 13 | 6.5 |
| 14 | 7 |
| 15 | 7.5 |
| 16 | 8 |
| 17 | 8.5 |
| 18 | 9 |
| 19 | 9.5 |
| 20 | 10 |
| 21 | 10.5 |
| 22 | 11 |
| 23 | 11.5 |
| 24 | 12 |
| 25 | 12.5 |
| 26 | 13 |
| 27 | 13.5 |
| 28 | 14 |
| 29 | 14.5 |
| 30 | 15 |
```
b
```markdown
| Super-cycles | Thickness (nm) |
|---|---|
| 0 | 1.5 |
| 1 | 1.5 |
| 2 | 1.5 |
| 3 | 1.5 |
| 4 | 1.5 |
| 5 | 1.5 |
| 6 | 1.5 |
| 7 | 1.5 |
| 8 | 1.5 |
| 9 | 1.5 |
| 10 | 1.5 |
| 11 | 1.5 |
| 12 | 1.5 |
| 13 | 1.5 |
| 14 | 1.5 |
| 15 | 1.5 |
| 16 | 1.5 |
| 17 | 1.5 |
| 18 | 1.5 |
| 19 | 1.5 |
| 20 | 1.5 |
| 21 | 1.5 |
| 22 | 1.5 |
| 23 | 1.5 |
| 24 | 1.5 |
| 25 | 1.5 |
| 26 | 1.5 |
| 27 | 1.5 |
| 28 | 1.5 |
| 29 | 1.5 |
| 30 | 1.5 |
```
c
```markdown
| Super-cycles | Thickness (nm) |
|---|---|
| 0 | 0 |
| 1 | 0.1 |
| 2 | 0.2 |
| 3 | 0.3 |
| 4 | 0.4 |
| 5 | 0.5 |
| 6 | 0.6 |
| 7 | 0.7 |
| 8 | 0.8 |
| 9 | 0.9 |
| 10 | 1 |
| 11 | 1.1 |
| 12 | 1.2 |
| 13 | 1.3 |
| 14 | 1.4 |
| 15 | 1.5 |
| 16 | 1.6 |
| 17 | 1.7 |\
```
