| ω-2θ (arcsec) | TiN | 50c ALE | 100c ALE | 150c ALE | 200c ALE | 300c ALE |
|---|---|---|---|---|---|---|
| 1000 | 1e+14 | 1e+10 | 1e+8 | 1e+6 | 1e+4 | 1e+2 |
| 2000 | 1e+13 | 1e+9 | 1e+7 | 1e+5 | 1e+3 | 1e+1 |
| 3000 | 1e+12 | 1e+8 | 1e+6 | 1e+4 | 1e+2 | 1e+0 |
| 4000 | 1e+11 | 1e+7 | 1e+5 | 1e+3 | 1e+1 | 1e-1 |
| 5000 | 1e+10 | 1e+6 | 1e+4 | 1e+2 | 1e+0 | 1e-2 |
| 6000 | 1e+09 | 1e+5 | 1e+3 | 1e+1 | 1e-1 | 1e-4 |
| 7000 | 1e+08 | 1e+4 | 1e+2 | 1e-1 | 1e-3 | 1e-6 |
| 8000 | 1e+07 | 1e+3 | 1e+1 | 1e-2 | 1e-4 | 1e-7 |
| 9000 | 1e+06 | 1e+2 | 1e-1 | 1e-3 | 1e-5 | 1e-8 |
| 10000 | 1e+05 | 1e+1 | 1e-1 | 1e-3 | 1e-5 | 1e-9 |
