a
```markdown
| Energy (eV) | 638 | 640 | 642 | 644 | 646 | 648 | 650 |
|---|---|---|---|---|---|---|---|
| 100/0 |  |  |  |  |  |  |  |
| 80/20 |  |  |  |  |  |  |  |
| 60/40 |  |  |  |  |  |  |  |
| L<sub>III</sub> |  |  |  |  |  |  |  |
| Mn<sup>4+</sup> / Mn<sup>3+</sup> |  |  |  |  |  |  |  |
| Mn<sup>3+</sup> |  |  |  |  |  |  |  |
| Mn<sup>4+</sup> |  |  |  |  |  |  |  |
| MnO<sub>2</sub> |  |  |  |  |  |  |  |
| 10cLi-MnO<sub>2</sub> |  |  |  |  |  |  |  |
| 50cLi-MnO<sub>2</sub> |  |  |  |  |  |  |  |
| 100cLi-MnO<sub>2</sub> |  |  |  |  |  |  |  |
| 200cLi-MnO<sub>2</sub> |  |  |  |  |  |  |  |
| 300cLi-MnO<sub>2</sub> |  |  |  |  |  |  |  |
```
