a
```markdown
| H₂ Plasma Exposure Time (s) | Resistivity (µΩ cm) |
|---|---|
| 0 | 10^4 |
| 1 | 10^3 |
| 2 | 10^2 |
| 3 | 10^1 |
| 4 | 10^0 |
| 5 | 10^-1 |
| 6 | 10^-2 |
| 7 | 10^-3 |
| 8 | 10^-4 |
| 9 | 10^-5 |
| 10 | 10^-6 |
| 11 | 10^-7 |
| 12 | 10^-8 |
| 13 | 10^-9 |
| 14 | 10^-10 |
| 15 | 10^-11 |
| 16 | 10^-12 |
| 17 | 10^-13 |
| 18 | 10^-14 |
| 19 | 10^-15 |
| 20 | 10^-16 |
| 21 | 10^-17 |
| 22 | 10^-18 |
| 23 | 10^-19 |
| 24 | 10^-20 |
| 25 | 10^-21 |
| 26 | 10^-22 |
| 27 | 10^-23 |
| 28 | 10^-24 |
| 29 | 10^-25 |
| 30 | 10^-26 |
```
