a
```markdown
| Temperature (K) | Pressure (Pa) | Time (s) |
|----------------|---------------|----------|
| 520           | 20            | 0        |
| 540           | 20            | 5        |
| 560           | 20            | 10       |
| 580           | 20            | 15       |
| 600           | 20            | 20       |
| 520           | 40            | 0        |
| 540           | 40            | 5        |
| 560           | 40            | 10       |
| 580           | 40            | 15       |
| 600           | 40            | 20       |
| 520           | 60            | 0        |
| 540           | 60            | 5        |
| 560           | 60            | 10       |
| 580           | 60            | 15       |
| 600           | 60            | 20       |
| 520           | 80            | 0        |
| 540           | 80            | 5        |
| 560           | 80            | 10       |
| 580           | 80            | 15       |
| 600           | 80            | 20       |
```
