a
```markdown
| Wavelength (nm) | glass | NiO<sub>Alanis</sub> | NiO<sub>MeCp</sub> | NiO<sub>Bu-MeAMD</sub> |
|---|---|---|---|---|
| 300 | 0 | 0 | 0 | 0 |
| 350 | 60 | 60 | 60 | 60 |
| 400 | 80 | 80 | 80 | 80 |
| 450 | 90 | 90 | 90 | 90 |
| 500 | 95 | 95 | 95 | 95 |
| 550 | 97 | 97 | 97 | 97 |
| 600 | 98 | 98 | 98 | 98 |
| 650 | 99 | 99 | 99 | 99 |
| 700 | 99 | 99 | 99 | 99 |
| 750 | 99 | 99 | 99 | 99 |
| 800 | 99 | 99 | 99 | 99 |
| 850 | 99 | 99 | 99 | 99 |
| 900 | 99 | 99 | 99 | 99 |
| 950 | 99 | 99 | 99 | 99 |
| 1000 | 99 | 99 | 99 | 99 |
```
