a
```markdown
| Plasma exposure time (s) | Resistivity (µΩcm) |
|---|---|
| 0 | 10^5 |
| 1 | 10^4 |
| 2 | 10^3 |
| 3 | 10^2 |
| 4 | 10^1 |
| 5 | 10^0 |
| 6 | 10^-1 |
| 7 | 10^-2 |
| 8 | 10^-3 |
| 9 | 10^-4 |
| 10 | 10^-5 |
| 11 | 10^-6 |
| 12 | 10^-7 |
| 13 | 10^-8 |
| 14 | 10^-9 |
| 15 | 10^-10 |
| 16 | 10^-11 |
| 17 | 10^-12 |
| 18 | 10^-13 |
| 19 | 10^-14 |
| 20 | 10^-15 |
| 21 | 10^-16 |
| 22 | 10^-17 |
| 23 | 10^-18 |
| 24 | 10^-19 |
| 25 | 10^-20 |
| 26 | 10^-21 |
| 27 | 10^-22 |
| 28 | 10^-23 |
| 29 | 10^-24 |
| 30 | 10^-25 |
```
